model_name,epoch,mAP50,mAP50_95,precision_mean,recall_mean,f1_mean,params,GFLOPs,data_aug_runner_explicit
yolov8m,1,0.06967,0.02075,0.69882,0.04429,0.08330055523397169,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,2,0.19951,0.09514,0.3755,0.31933,0.34514461091152493,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,3,0.1654,0.08451,0.80998,0.11208,0.19691247510986606,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,4,0.27307,0.15169,0.559,0.26149,0.356306377895701,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,5,0.26934,0.15514,0.25705,0.37569,0.3052473828107829,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,6,0.3754,0.22406,0.3965,0.36691,0.3811315413730746,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,7,0.33738,0.20524,0.36742,0.37577,0.37154809241193837,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,8,0.4826,0.27353,0.42063,0.5957,0.49308647978462405,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,9,0.48282,0.29108,0.43846,0.54548,0.4861498888138645,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,10,0.26196,0.14936,0.33227,0.37533,0.3524898222154431,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,11,0.39744,0.25442,0.28714,0.49405,0.3631933767708711,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,12,0.45278,0.26899,0.3781,0.47444,0.4208266216242982,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,13,0.48806,0.26658,0.43017,0.59244,0.49843032006287974,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,14,0.5519,0.32743,0.50359,0.58153,0.5397609346426756,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,15,0.54284,0.30885,0.51876,0.58818,0.5512932169760318,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,16,0.24375,0.11725,0.32984,0.32942,0.3296298662131335,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,17,0.45853,0.27592,0.39299,0.57508,0.46690980858773967,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,18,0.51766,0.29537,0.53829,0.5292,0.533706297950769,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,19,0.53588,0.32111,0.49616,0.55492,0.5238975286367127,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,20,0.46832,0.29759,0.44509,0.54417,0.48966828801276746,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,21,0.57605,0.35019,0.541,0.59742,0.5678119147585532,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,22,0.56959,0.3569,0.53287,0.61168,0.5695616995320697,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,23,0.4691,0.29214,0.48587,0.48942,0.4876385391006905,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,24,0.57561,0.35806,0.56118,0.60177,0.5807666513602643,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,25,0.52513,0.31409,0.46416,0.53215,0.49583511959079424,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,26,0.5662,0.34974,0.53397,0.58121,0.5565894361443383,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,27,0.64297,0.39913,0.5989,0.64861,0.6227645934696933,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,28,0.54019,0.32965,0.54015,0.59966,0.5683514778773933,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,29,0.61097,0.36681,0.57753,0.62545,0.6005355675068574,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,30,0.56443,0.3575,0.58308,0.60996,0.5962171876880941,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,31,0.59395,0.36158,0.59681,0.59564,0.5962244260131692,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,32,0.64609,0.4089,0.61069,0.6543,0.6317432817645737,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,33,0.61451,0.37649,0.56415,0.61332,0.5877083543524779,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,34,0.58202,0.36038,0.52309,0.5959,0.5571262138173199,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,35,0.66175,0.41957,0.67359,0.63012,0.6511302832680187,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,36,0.5985,0.37506,0.57486,0.68342,0.6244569113387923,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,37,0.63155,0.40002,0.62055,0.638,0.6291540264585204,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,38,0.66529,0.41387,0.62015,0.67184,0.6449609919576428,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,39,0.65689,0.40002,0.60329,0.67,0.6348974703322614,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,40,0.64238,0.38723,0.66014,0.61811,0.6384340080573921,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,41,0.65969,0.41275,0.64553,0.66767,0.656413364452744,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,42,0.61157,0.36718,0.60384,0.6194,0.6115210359368467,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,43,0.60192,0.35757,0.64148,0.55346,0.594228196896418,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,44,0.64895,0.39107,0.64454,0.64414,0.6443399379204734,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,45,0.57991,0.36181,0.55309,0.64944,0.5974050869412011,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,46,0.67773,0.40185,0.67662,0.64681,0.6613792678111714,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,47,0.62032,0.38127,0.62789,0.63857,0.6331849680205981,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,48,0.67752,0.42439,0.61234,0.69483,0.6509822015494151,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,49,0.62521,0.3908,0.61596,0.66595,0.6399802825466374,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,50,0.6175,0.38885,0.58057,0.65842,0.6170492084676897,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,51,0.69555,0.43881,0.63942,0.69963,0.6681713372908643,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,52,0.71259,0.43406,0.66924,0.69272,0.6807776040407348,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,53,0.68278,0.41815,0.64508,0.69783,0.6704189802736814,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,54,0.68933,0.42514,0.7047,0.65395,0.6783771611521154,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,55,0.65526,0.40855,0.65955,0.63429,0.6466734209789103,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,56,0.68107,0.41618,0.66024,0.64965,0.6549021917865966,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,57,0.66885,0.40697,0.65122,0.69429,0.6720656610499571,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,58,0.68997,0.43067,0.63989,0.70429,0.670547289945788,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,59,0.69047,0.42422,0.66407,0.70084,0.6819597171969712,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,60,0.65975,0.40107,0.65422,0.66095,0.6575677805906023,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,61,0.61933,0.39211,0.6189,0.6221,0.6204958742944233,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,62,0.6624,0.40701,0.62293,0.69035,0.6549094260168015,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,63,0.67487,0.42173,0.63771,0.68158,0.6589156012698807,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,64,0.65341,0.40032,0.63225,0.67046,0.6507946281208782,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,65,0.66938,0.40366,0.65492,0.65779,0.6563518626348116,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,66,0.68061,0.4115,0.61878,0.74391,0.6755999233863347,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,67,0.65373,0.40632,0.64815,0.65554,0.6518240547978033,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,68,0.67661,0.41284,0.66564,0.67982,0.6726552774510778,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,69,0.68675,0.41255,0.67986,0.66304,0.6713446636378946,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,70,0.67093,0.41078,0.64836,0.67122,0.6595919901781934,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,71,0.66345,0.40671,0.70106,0.62246,0.65942608740279,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,72,0.65554,0.39541,0.64581,0.65683,0.6512733868139691,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,73,0.65679,0.39864,0.61371,0.69157,0.6503178240679008,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,74,0.66452,0.40155,0.65668,0.656,0.6563398238712738,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,75,0.65391,0.39765,0.65751,0.65233,0.6549097573744466,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,76,0.6406,0.37648,0.64387,0.65489,0.6493332475587102,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,77,0.66043,0.3921,0.68548,0.62693,0.6548989666334035,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,78,0.65176,0.39661,0.61767,0.69268,0.6530280544887601,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,79,0.66901,0.4057,0.61542,0.6859,0.6487513878210979,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,80,0.67802,0.40711,0.63718,0.69637,0.6654614174191702,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,81,0.65897,0.40074,0.68897,0.63253,0.6595447508129705,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,82,0.67332,0.40451,0.66372,0.67518,0.6694009554106584,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,83,0.67315,0.4082,0.6702,0.66555,0.6678669062319537,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,84,0.67956,0.40898,0.62217,0.72134,0.66809492716789,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,85,0.66623,0.40005,0.66194,0.67897,0.6703468566863768,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,86,0.65804,0.39856,0.66128,0.66214,0.6617097205719561,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,87,0.65524,0.39396,0.66383,0.65819,0.6609979693191774,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,88,0.6685,0.39983,0.71975,0.61764,0.6647969403086122,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,89,0.65912,0.39038,0.68609,0.64,0.6622440407508824,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,90,0.66442,0.40193,0.70049,0.64261,0.6703028499734417,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,91,0.66333,0.38816,0.68127,0.64881,0.6646439142001498,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,92,0.66695,0.39108,0.66194,0.67571,0.6687541246210378,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,93,0.66352,0.39564,0.68034,0.64762,0.6635769011109794,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,94,0.66334,0.39083,0.70776,0.62201,0.6621202126678581,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,95,0.65967,0.39492,0.67927,0.63857,0.658291513233277,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,96,0.67359,0.39985,0.62944,0.68857,0.6576786227717105,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,97,0.66153,0.39894,0.70027,0.62569,0.6608825851453581,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,98,0.66917,0.40054,0.67027,0.64351,0.6566174666986432,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,99,0.66657,0.39587,0.67118,0.65021,0.6605286066939657,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,100,0.66306,0.3964,0.67289,0.64526,0.6587854210820779,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
yolov8m,100,0.6950543728730022,0.4389072933681196,0.6390035049892958,0.7008596784819007,0.6685037645336552,25902645,79.3238016,runner_kw explicit: mosaic=1.0; close_mosaic=10; mixup=0.15; scale=0.5
